Course Name,category,sub Category,AVG Rating,number ratings,enrollment,last UPDATED,,lectures,duration,COST,COST2,discount,inst rating,inst review,inst student
Become an Algebra Master,teaching academics,Engineering,4.4,919,4449,2/2016,,17,4h 18m,CAD$16.99,EUR30.82,88%,4.4,926,4462
How To Sing #1: Complete Vocal Warm ups & Voice Physiology,music,Production,4.5,3034,20499,10/2020,,63,5h 59m,CAD$16.99,EUR15.41,92%,4.6,4020,24079
70-462: SQL Server Database Administration (DBA),it software,IT Certification,4.8,5614,35961,4/2020,,30,3h 8m,,EUR16.07,88%,4.7,165670,562565
Become an IELTS Teacher and Travel the World!,personal development,Creativity,4.5,3924,17006,9/2020,,6,1h 34m,CAD$49.99,EUR29.48,76%,4.4,14339,83013
Object Oriented PHP & MVC,development,Software Engineering,4.5,513,3709,10/2020,,272,37h 34m,,EUR19.42,60%,4.4,2502,18503
Kubernetes Mastery on AWS,it software,Other,4.4,584,1930,10/2020,,52,6h 20m,CAD$16.99,,51%,4.6,2020,4388
Pixel Art Master Course - Beginner to Professional/Freelance,health fitness,General Health,4.3,262,2248,9/2020,,27,2h 34m,CAD$17.99,,89%,4.3,262,2248
Treatment & Prevention of Dog Aggression: Biting & Fighting,lifestyle,Arts & Crafts,4.5,522,4230,7/2018,,75,10h 26m,CAD$17.99,EUR43.55,77%,4.5,5104,21761
Fortinet FortiGate Firewall 5-in-1 Training Bundle,it software,Other,2.9,44,136,8/2020,,79,9h 11m,CAD$21.99,,33%,2.9,44,136
Practical Transformation Using XSLT and XPath (5-hour free preview; 24 hours total),development,Web Development,4.1,173,970,5/2020,,71,24h 0m,CAD$46.99,,74%,4.1,173,970
"Learn How To Trade Stocks, Forex & Crypto: In 5 Simple Steps",business,Finance,4.1,84,892,8/2019,,186,11h 29m,CAD$19.99,,89%,3.7,2140,10856
Ultimate Photoshop Training: From Beginner to Pro,marketing,Search Engine Optimization,4.1,1801,23066,5/2020,,22,2h 38m,CAD$16.99,,89%,4,5561,145895
Learn C++ Programming -Beginner to Advance- Deep Dive in C++,development,Programming Languages,4.6,2727,14637,10/2020,,69,7h 14m,CAD$20.99,,32%,4.5,288507,988948
Introduction to Windows PowerShell 5.1,development,Development Tools,4.6,32525,152874,12/2019,,51,3h 40m,CAD$16.99,,90%,4.6,258820,671113
Microsoft Azure Solutions (Exam 70-533) â€“ 9 Course Bundle,it software,Other,4.6,4287,27554,6/2020,,70,6h 46m,CAD$16.99,,92%,4.7,165670,562565
Master Microsoft PowerShell,it software,Operating Systems,4.1,275,9110,10/2019,,70,4h 26m,CAD$16.99,,82%,4,1309,38532
AWS Serverless APIs & Apps - A Complete Introduction,development,Databases,4.5,5092,28520,4/2018,,376,29h 33m,,EUR14.73,62%,4.5,60107,236203
Ethical Hacking with Metasploit: Exploit & Post Exploit,it software,IT Certification,4.7,16506,65119,10/2020,,190,16h 46m,CAD$16.99,,88%,4.6,100190,314001
TOTAL: CISM (Info. Security Mgr) Practice Tests - 400 Q's,it software,Other,4.4,1141,7034,4/2020,,169,21h 15m,CAD$16.99,EUR11.38,83%,4.4,1171,7267
PLC Programming From Scratch (PLC I),it software,Operating Systems,4.4,5303,27128,1/2017,,16,1h 23m,CAD$16.99,,64%,4.3,113570,1204639
AWS Certified Cloud Practitioner: 5 Full Practice Exams 2020,it software,IT Certification,4.3,3789,32818,10/2020,,32,2h 8m,CAD$16.99,,88%,4.6,100190,314001
UiPath - Level 1 Robotic Process Automation,business,Communications,4.6,1993,10222,9/2020,,30,2h 15m,CAD$16.99,,85%,4.6,9150,37732
OSINT: Open-Source Intelligence Level 2,business,Home Business,4.6,1403,10090,1/2017,,74,6h 54m,CAD$20.99,,80%,4.4,1686,13898
Big Data Hadoop and Spark with Scala,development,Software Testing,4.5,538,3566,6/2020,,127,15h 4m,,EUR12.05,80%,4.2,19299,214061
SQL Server Performance Tuning Part 1,development,Programming Languages,4.1,755,4850,6/2020,,70,10h 48m,,EUR11.38,89%,4.4,28778,167870
"FPGA Embedded Design, Part 1 - Verilog",development,Databases,4.5,4803,18098,12/2019,,91,9h 58m,CAD$19.99,,32%,4.6,7303,26735
Awesome Apps with React Hooks and Firebase,it software,Network & Security,4.7,1764,5555,12/2013,,82,12h 44m,CAD$16.99,,75%,4.5,7900,15995
Introduction to Google App Maker Part 1 of 5,it software,IT Certification,4,79,301,3/2019,,113,24h 2m,,EUR36.84,91%,4,110,437
CISSP practice questions #1 - ALL CISSP domains 250 Q - 2020,it software,IT Certification,4.2,354,4019,4/2020,,63,7h 12m,CAD$16.99,,89%,4.6,100190,314001
Microsoft Windows Server 2016 Training for Beginners,it software,Hardware,4.2,625,2845,7/2019,,40,4h 5m,CAD$16.99,,51%,4.2,6030,43552
The Essential Guide to Entrepreneurship by Guy Kawasaki,business,Home Business,4.4,1254,5887,10/2020,,63,3h 57m,CAD$17.99,,89%,4.2,1786,16669
The Complete Business Analysis Fundamentals Course + CERT,design,Other,4.5,3964,17668,10/2020,,53,11h 15m,CAD$23.99,,88%,4.5,5575,55536
Business Analysis Fundamentals,business,Entrepreneurship,4.6,989,6873,6/2020,,82,6h 58m,CAD$16.99,,85%,4.7,200625,581769
Unity Multiplayer Game development with Photon PUN2 [2020],development,Web Development,4.7,4222,21482,11/2019,,63,9h 38m,CAD$19.99,,58%,4.7,282312,865160
Forex Trading Price Action: Advanced Swing Trading Strategy,design,Interior Design,4.5,4114,15839,8/2016,,116,14h 6m,CAD$29.99,,86%,4.4,17393,50619
Managerial (Cost) Accounting For Beginners,business,Home Business,4.3,442,2150,8/2020,,51,5h 6m,CAD$20.99,,88%,4.4,16852,53475
Mastering DNS on Windows Server 2016,it software,IT Certification,4.4,2838,13972,10/2020,,108,6h 15m,CAD$20.99,,90%,4.5,2920,14218
AZ-302 Azure Solutions Architect Transition Practice Test,it software,Other,4.6,407,1871,5/2019,,26,1h 16m,,EUR13.39,84%,4.3,3392,50742
Complete Guitar System - Beginner to Advanced,personal development,Creativity,4.5,889,6527,8/2018,,155,12h 16m,CAD$31.99,,62%,4.3,1360,11486
Artificial Intelligence A-Zâ„¢: Learn How To Build An AI,development,Databases,3.4,111,310,8/2020,,32,4h 41m,,EUR13.39,72%,3.8,127,2305
TOTAL: CompTIA A+ Certification (220-1001).,business,Data & Analytics,4.5,3160,13405,10/2020,,26,4h 17m,CAD$19.99,,83%,4.5,7894,94733
GIMP 2.10 Made Easy for Beginners. Learn GIMP from a pro!,marketing,Content Marketing,4.5,1256,6121,2/2018,,16,1h 43m,CAD$16.99,,86%,4.4,2370,12856
Systems Thinking Made Simple,personal development,Self Esteem,4.4,601,4527,11/2018,,93,4h 2m,CAD$29.99,EUR16.08,79%,4.5,2142,15519
Affinity Photo: Solid Foundations,teaching academics,Test Prep,4.8,133,279,8/2018,,109,12h 13m,CAD$16.99,,40%,4.7,198,2301
Crystal Reports for SAP Business One Mastery Training Course,business,Operations,4.5,9157,33459,10/2020,,57,4h 51m,CAD$17.99,,90%,4.5,26337,93654
The Complete Android & Java Developer Course - Build 21 Apps,development,Web Development,4.7,39296,152669,9/2020,,85,11h 29m,CAD$19.99,EUR13.39,88%,4.6,85259,267367
The Project Management Course: Beginner to PROject Manager,design,3D & Animation,4.5,1098,3680,11/2019,,78,4h 24m,CAD$16.99,,66%,4.5,6229,22774
MB2-716 Learn To Configure Microsoft Dynamics 365 Part 1/4,it software,IT Certification,3.7,361,2406,9/2019,,43,6h 1m,,EUR11.38,89%,4.2,3047,24351
TOTAL: CompTIA Network+ Certification (N10-007),it software,IT Certification,4.6,3374,10338,10/2020,,86,19h 47m,,EUR29.47,92%,4.5,46162,130166
The Complete Finance Manager Course 2020,business,Real Estate,4.8,528,3960,8/2020,,42,5h 15m,CAD$17.99,,83%,4.7,11423,31593
Deep Learning Prerequisites: Logistic Regression in Python,development,Game Development,4.3,5341,28527,1/2020,,79,10h 11m,CAD$19.99,EUR47.57,86%,4.3,5685,52774
Microsoft SQL Server 2016 Certification (70-764),it software,IT Certification,3.6,216,738,8/2020,,159,19h 42m,CAD$39.99,,92%,3.6,316,1059
How to Use Lighting Design to Transform your Home,marketing,Digital Marketing,4.4,1765,102308,7/2020,,362,30h 10m,CAD$23.99,,90%,4.5,245360,2011894
The Modern Python 3 Bootcamp,development,Web Development,4.4,22033,94784,7/2020,,42,4h 5m,,EUR14.73,49%,4.4,112580,556334
Salesforce Certified Advanced Administrator - Part 1,it software,IT Certification,3.8,185,803,10/2019,,65,3h 8m,,EUR14.73,89%,3.8,392,1924
Mastering Agile Scrum Project Management,business,Project Management,4.2,4969,18841,3/2020,,96,17h 17m,CAD$16.99,,88%,4.3,51924,228793
#1 Sourdough Bread Baking 101,photography,Photography Tools,4.6,942,25373,8/2020,,49,2h 47m,CAD$19.99,EUR18.76,74%,4.3,7743,253650
After Effects CC: Motion Graphics & Animation Principles,business,Real Estate,4.7,494,3902,5/2018,,33,2h 8m,CAD$16.99,,88%,4.7,11423,31593
Apache NiFi - A Complete Guide | Cloudera DataFlow | HDF/CDF,development,Web Development,4.5,1100,5488,8/2020,,50,8h 32m,CAD$19.99,,77%,4.4,11150,146426
Oracle PL/SQL is My Game: EXAM 1Z0-144,it software,IT Certification,4.2,95,1591,7/2020,,56,23h 14m,CAD$47.99,,92%,4.5,23032,113804
Career Coaching Certification|Career Development Coaching,personal development,Personal Transformation,4.7,1456,6239,10/2020,,56,3h 1m,CAD$16.99,,74%,4.7,28856,110341
Virtual Real Estate Wholesaling In 30 Days - BASICS,business,Finance,4.5,987,7229,9/2020,,51,4h 23m,CAD$16.99,,88%,4.6,8745,29901
Complete Python 3 Masterclass Journey,development,Mobile Apps,4.2,2035,14899,7/2020,,156,13h 3m,,EUR11.38,91%,4.5,357769,1675338
iOS 12 Chat Application like WhatsApp and Viber,development,Software Engineering,4.4,659,4371,9/2020,,73,11h 52m,CAD$23.99,,89%,4.5,1738,8354
Pass ISTQB Foundation Level (CTFL) Exam From First Trial,it software,IT Certification,4.5,191586,570234,8/2020,,118,16h 11m,CAD$21.99,,88%,4.5,255212,681025
Clear and Simple VMware Certified Associate (VCA-DBT),it software,IT Certification,4.5,1032,6510,10/2019,,214,28h 7m,CAD$20.99,,69%,4.4,1672,30522
"QuickBooks Online 2020, 2019 & 2018 Start to Finish",business,Real Estate,4.8,264,1656,9/2020,,200,26h 33m,CAD$16.99,,84%,4.7,11423,31593
Learn DevOps: Infrastructure Automation With Terraform,development,Game Development,4.3,4981,33535,4/2020,,90,10h 11m,,EUR11.38,73%,4.4,45494,287245
Display and analyze GIS data on the web with Leaflet,development,Web Development,4.7,12159,66266,7/2019,,123,12h 50m,,EUR11.38,82%,4.6,258820,671113
"CAPM Exam Prep Seminar - PMBOK Guide, Sixth Edition",business,Data & Analytics,4.4,1840,11258,9/2020,,55,1h 42m,CAD$199.99,,88%,4.5,3789,40491
The Real Estate Financial Modeling Bootcamp,business,Home Business,2.7,161,10444,12/2018,,141,30h 26m,CAD$16.99,,80%,3.9,707,27332
AWS Certified SysOps Administrator Associate Practice Exams,it software,IT Certification,4.5,524,4196,9/2020,,42,7h 32m,,EUR11.38,38%,4.7,165671,562326
Learn to program the Revit API by Boost Your BIM,design,Graphic Design,4.8,1741,9033,7/2020,,214,6h 7m,CAD$21.99,,81%,4.6,19043,135701
Vue JS Essentials with Vuex and Vue Router,development,Programming Languages,4.2,578,3562,9/2020,,121,16h 33m,CAD$21.99,,92%,4.4,3068,20274
ISO 9001:2015 Quality Management System Auditor Course,business,Strategy,4.1,365,3411,7/2018,,86,6h 9m,CAD$17.99,,87%,4.3,10625,76899
The Complete Python & PostgreSQL Developer Course,development,Programming Languages,3.7,1943,13670,1/2019,,258,22h 25m,CAD$16.99,,89%,4.1,3973,53633
Presales Management - IT Solutions & Service Providers,it software,Operating Systems,4.5,2861,26165,8/2019,,74,16h 52m,CAD$16.99,,84%,4.5,92301,476330
Practical Project Management (Earn 16 PDUs),business,Finance,4.6,2113,8414,2/2020,,45,4h 30m,CAD$19.99,,88%,4.6,8011,20245
Pass ISTQB Test Manager Advanced Level Exam From First Trial,it software,IT Certification,4.7,1655,5774,1/2017,,40,4h 5m,CAD$16.99,,84%,4.5,2006,8488
Identify & Define the Problem with Business Analysis,business,Project Management,4.3,295,1110,4/2020,,115,26h 35m,CAD$16.99,,51%,4.2,20401,226981
Red Hat Certified Systems Administrator Prep,it software,Operating Systems,3.9,547,4681,7/2019,,24,4h 38m,CAD$16.99,,65%,3.7,579,5080
Docker for the Absolute Beginner - Hands On - DevOps,it software,Other,4.2,455,4770,1/2020,,93,20h 33m,CAD$21.99,,87%,4.1,4681,24133
Excel Charts: Visualization Secrets for Impressive Charts,music,Music Fundamentals,,2134,31028,5/2018,,32,2h 6m,CAD$16.99,EUR40.87,86%,4.5,43931,179413
Indian Culinary World - Master the art of Indian Cooking,office productivity,SAP,4.3,352,1930,10/2020,,5,1h 17m,CAD$16.99,EUR22.78,88%,4.3,352,1930
Cisco CCNA R/S (200-120 & 200-125): The Complete Course,it software,Other,4.4,6864,30988,5/2018,,251,93h 9m,CAD$17.99,,89%,4.5,49502,376881
Python eCommerce | Build a Django eCommerce Web Application,development,Web Development,4.3,1732,25244,3/2020,,109,15h 6m,,EUR11.38,89%,4.4,5647,160799
Learn Python Programming Masterclass,development,Web Development,4.4,4334,29047,7/2020,,160,15h 34m,CAD$17.99,EUR48.24,92%,4.6,36082,160157
Pre-Investing: Essential Real Estate Investing Concepts,business,Operations,4.6,620,2797,10/2020,,79,4h 29m,CAD$16.99,,88%,4.5,26337,93654
PL/SQL by Example - Beginner to Advanced PL/SQL,music,Instruments,4.6,1490,12166,11/2018,,51,10h 46m,CAD$28.99,EUR18.09,83%,4.6,1490,13282
CompTIA Advanced Security Practitioner (CASP+ Exam CAS-003),business,Communications,3.8,797,4895,7/2020,,25,1h 47m,CAD$19.99,,91%,4.3,4904,25644
English Fluency | How to Sound Like a Native English Speaker,lifestyle,Arts & Crafts,4.6,1869,8925,3/2018,,12,2h 26m,CAD$16.99,,84%,4.7,6194,35830
"Java Multithreading, Concurrency & Performance Optimization",development,Programming Languages,4.5,1584,9796,10/2020,,227,42h 11m,CAD$20.99,,89%,4.3,39952,681532
PCB design master class with altium designer + 3 board examp,it software,Network & Security,3.7,249,836,4/2020,,124,6h 29m,,EUR18.75,85%,4,52857,324758
MTA 98-366 Network Fundamentals Class & Practice Exam Bundle,it software,IT Certification,4.1,161,491,8/2020,,54,56h 26m,CAD$16.99,,77%,4.2,801,12568
JavaScript Beginner Bootcamp (2020),development,Web Development,4.6,8939,37040,12/2018,,62,4h 57m,CAD$19.99,,81%,4.6,258820,671113
PMP Certification Exam Course| PMI PMPÂ® Preparation Course,business,Finance,4.5,1483,7958,8/2020,,312,33h 53m,CAD$27.99,,87%,4.5,2202,10968
Raspberry Pi Full Stack Raspbian,it software,Other,4,128,431,7/2018,,188,11h 23m,CAD$16.99,,88%,3.1,535,1505
Learn VHDL and FPGA Development,it software,IT Certification,4.7,888,4830,4/2016,,34,4h 13m,CAD$16.99,,50%,4.2,6092,47361
Crash course to pass the Microsoft Azure Fundamentals AZ900,it software,IT Certification,4.1,448,1243,8/2020,,32,3h 11m,,EUR11.38,75%,4.2,911,2533
Build Websites from Scratch with HTML & CSS,development,Web Development,4.6,6020,63821,6/2020,,77,8h 3m,,EUR14.73,85%,4.5,49583,489208
Practice Tests for LPI 010-160 Linux Essentials Exam,it software,IT Certification,4.6,1229,6619,10/2020,,15,3h 47m,,EUR12.05,67%,4.5,23032,113804
Oracle GoldenGate 12c Fundamentals,it software,Network & Security,4.6,12707,31678,9/2020,,67,5h 35m,CAD$16.99,,90%,4.6,20130,92136
Design Patterns in Modern C++,development,Programming Languages,4.3,628,1861,7/2020,,90,16h 45m,,EUR14.73,92%,4.2,1213,7842
How to Design a Room in 10 Easy Steps,design,Architectural Design,4.2,228,1517,8/2019,,224,43h 10m,CAD$19.99,,80%,4.3,4818,63384
"Comprehensive Guide to Financial Markets, Investing &Trading",business,Project Management,3.7,21,157,1/2018,,47,5h 54m,CAD$16.99,,32%,4.3,7727,118508
TOTAL: CompTIA A+ Certification (220-1001) Practice Tests.,business,Home Business,4.3,699,7803,11/2018,,9,30m,CAD$17.99,,88%,3.9,5457,147006
Exploring AWS IoT,it software,IT Certification,4.4,1685,7422,12/2019,,75,9h 6m,CAD$16.99,,88%,4.4,1685,7436
Become an expert in the new SAP Activate Methodology.,music,Other,4.5,3048,12698,10/2019,,65,2h 58m,CAD$21.99,,91%,4.5,3668,14161
The Social Media Marketing Masterclass 2020,office productivity,Microsoft,4.4,426,,8/2017,,86,12h 10m,CAD$25.99,EUR17.41,67%,4.5,11922,53682
Public Speaking for Kids (& Parents) Kids Can Speak!,personal development,Motivation,4.7,10620,79671,10/2020,,48,1h 45m,CAD$17.99,EUR25.46,92%,4.6,54164,321428
Oracle Database RAC Administration (12c and 19c),it software,Other,4.7,539,2097,3/2019,,524,17h 43m,CAD$17.99,,32%,4.6,3130,7059
Pass ISTQB Test Analyst Advanced Level Exam From First Trial,it software,Other,4.8,1707,11850,10/2020,,535,11h 11m,CAD$16.99,,62%,4.7,165670,562565
SAP GRC Training,office productivity,Microsoft,4.1,911,8477,9/2019,,89,3h 4m,CAD$17.99,,73%,4.3,3051,47030
Coding for Beginners: You can learn to code!,development,Programming Languages,4.7,1226,4992,11/2019,,105,6h 38m,CAD$23.99,,91%,4.6,3269,15256
Supply Chain Fundamentals: Understanding the Basics,business,Management,4.3,875,4991,9/2020,,222,13h 11m,CAD$16.99,,88%,4.3,1994,19033
Become a Geometry Master,office productivity,Apple,4.4,1036,3836,10/2020,,30,1h 57m,CAD$17.99,EUR34.84,92%,4.4,6868,40093
Business Analysis: Developing Requirements,business,Finance,4.1,882,4848,3/2018,,177,5h 6m,CAD$16.99,,91%,4.1,7734,113460
Introduction to Programmatic Advertising - Digital Marketing,finance accounting,Finance,4.3,822,3341,8/2018,,167,7h 13m,CAD$16.99,EUR11.38,89%,4.4,4638,22317
Python 3 Complete Masterclass - Make Your Job Tasks Easier!,development,Software Engineering,4.5,1891,9987,10/2020,,82,8h 23m,CAD$19.99,,90%,4.6,2466,12891
Start & Grow Your Staffing & Recruiting Business,business,Home Business,4.4,746,4745,1/2020,,106,18h 22m,CAD$16.99,,89%,4.2,4502,104622
How to Create Animated Videos with Powerpoint,lifestyle,Pet Care & Training,4.3,2759,16197,9/2020,,57,9h 51m,CAD$17.99,EUR12.05,86%,4.4,11708,47220
Mainframe: The Complete COBOL Course From Beginner To Expert,development,Databases,4.5,1150,9124,6/2020,,55,3h 57m,CAD$16.99,,84%,4.5,3903,28039
Blockchain for Business 2020: The New Industrial Revolution,design,Web Design,4.5,554,5011,7/2020,,60,8h 18m,CAD$16.99,,90%,4.5,21876,104566
Certified Six Sigma Black Belt Training,business,Finance,4.6,5216,88286,5/2020,,54,3h 39m,CAD$17.99,,90%,4.5,132521,907559
Jewelry Design Video Course: 23 Step-by-Step Lessons,marketing,Other,4.6,479,2543,11/2019,,108,5h 46m,CAD$21.99,,49%,4.6,542,3280
Full Stack Development Using Spring Boot Angular and React,it software,IT Certification,4.6,503,2974,7/2020,,120,15h 13m,CAD$20.99,,92%,4.1,519,8474
Microsoft Certification for SQL server 70-761 Practice Test,it software,IT Certification,4.5,2642,14348,9/2020,,38,5h 45m,CAD$17.99,,88%,4.6,100190,314001
JavaScript Basics for Beginners,development,Programming Languages,4.6,1856,10574,6/2018,,160,11h 51m,CAD$16.99,,89%,4.7,2247,17493
Certification Financial Planning Coaching Holistic Approach,music,Music Software,4.5,3207,13785,10/2020,,35,1h 28m,CAD$16.99,EUR13.4,84%,4.5,43931,179413
The Complete SQL Bootcamp 2020: Go from Zero to Hero,business,Project Management,4.3,2170,6910,10/2020,,27,2h 12m,CAD$31.99,,76%,4.3,2531,7874
Hip Hop Dance For Beginners,personal development,Career Development,4.6,1020,4261,10/2019,,33,3h 24m,CAD$31.99,EUR20.77,86%,4.4,4197,15195
Build a Dropshipping Empire From Scratch [Proven Blueprint],business,Finance,4.4,2485,57026,5/2017,,61,1h 46m,CAD$17.99,,85%,4.4,66705,546069
Fundamentals of Electrical Controls,business,Data & Analytics,4.6,469,3688,8/2020,,45,3h 55m,CAD$16.99,,88%,4.4,25512,209796
Unity Networking From Scratch for (Unity 5 to Unity 2018.2),development,Web Development,4.4,5945,39423,6/2017,,171,19h 13m,,EUR16.07,86%,4.6,258820,671113
Practice Tests to get 2019 Comptia A+ Certification 220-1001,it software,Network & Security,4.5,313,3538,1/2018,,135,9h 10m,CAD$23.99,,69%,4.5,3239,37854
Cisco Network Security Master Class,it software,Network & Security,4.5,5452,26665,12/2018,,54,6h 34m,CAD$16.99,,89%,4.5,13415,64030
The Complete Networking Fundamentals Course. Your CCNA start,it software,Network & Security,4.6,3018,58755,8/2020,,89,6h 27m,CAD$19.99,,51%,4.5,49411,216369
The Complete Ubuntu Linux Server Administration Course !,it software,Other,4.4,1587,8545,7/2020,,106,11h 4m,,EUR14.73,88%,4.4,2066,20886
Master Hibernate and JPA with Spring Boot in 100 Steps,development,Web Development,4.4,1885,10958,11/2017,,70,6h 14m,,EUR11.38,77%,4.5,357769,1675338
The Complete Figure Drawing Course HD,marketing,Marketing Fundamentals,4.3,839,7940,6/2018,,67,6h 13m,CAD$17.99,,88%,4.4,22391,256187
Microsoft 70-480 Programming in HTML5 with JavaScript & CSS3,it software,IT Certification,4.6,156,1565,1/2017,,40,9h 13m,,EUR43.54,67%,4.3,25989,242683
The Complete JIRA Agile Project Management Course,development,Web Development,4.3,489,2657,8/2020,,12,8h 3m,CAD$16.99,,82%,4.5,288507,988948
STM32Fx Microcontroller Custom Bootloader Development,it software,IT Certification,4.6,25588,97083,4/2018,,22,2h 58m,CAD$16.99,,89%,4.6,100190,314001
Salesforce New User Training,personal development,Stress Management,4.3,1436,14822,7/2018,,38,2h 9m,CAD$17.99,EUR34.84,32%,4.3,7162,82444
The Build a SAAS App with Flask Course,development,Data Science,4.7,6276,45770,9/2020,,388,38h 22m,CAD$21.99,,88%,4.5,462859,1573740
How To Start A T-Shirt Business FAST: No Costs Or Inventory,business,Entrepreneurship,4.7,52,1412,10/2020,,125,13h 12m,CAD$19.99,,92%,4.5,1076,24899
"QuickBooks Pro Desktop 2021, 2020, 2019, & 2018",business,Data & Analytics,4.3,352,2030,2/2020,,55,1h 42m,CAD$199.99,,89%,4.4,25512,209796
Learning Visual Basic .NET - A Guide To VB.NET Programming,development,Programming Languages,4.2,1044,5701,1/2017,,85,6h 56m,CAD$17.99,EUR12.05,89%,4.3,113570,1204639
Certified Chief Information Security Officer(CISO) updated,design,3D & Animation,4.3,379,2634,2/2020,,122,12h 29m,CAD$16.99,,89%,4.1,909,8947
"Web Scraping with Python: BeautifulSoup, Requests & Selenium",development,Web Development,4.4,8823,105701,8/2020,,246,43h 9m,,EUR12.05,89%,4.4,45494,287241
"Microsoft windows server 2016 industry lab MCSA ""fast track""",it software,Other,4.4,308,1190,4/2020,,36,4h 5m,CAD$16.99,EUR11.38,74%,4.3,821,3792
Microsoft SQL Server Reporting Services (SSRS),business,Operations,4.5,9157,33459,4/2017,,24,4h 18m,CAD$28.99,,56%,4.5,26337,93654
The Absolute Beginners Guide to Cyber Security 2020 - Part 1,it software,IT Certification,4.5,1032,6510,8/2020,,134,20h 13m,CAD$23.99,,88%,4.4,1672,30522
Pass the VMware vSphere 6.5 Foundations exam - PRACTICE TEST,it software,Network & Security,4.2,985,4460,12/2019,,164,12h 3m,CAD$21.99,,72%,4.1,47720,626911
Learn Social Engineering From Scratch,it software,Network & Security,4.2,624,5049,1/2020,,13,1h 5m,CAD$19.99,,88%,4.4,3484,19253
Acumen Presents: Seth Godin's Leadership Workshop,lifestyle,Food & Beverage,4.6,1025,3463,10/2020,,90,12h 31m,CAD$17.99,,88%,4.6,1405,4095
How to Create an Awesome Online Course,office productivity,SAP,4.2,1802,9357,2/2020,,35,3h 4m,CAD$20.99,EUR14.06,81%,4.2,3180,14153
The Complete Web Developer Course 2.0,development,Data Science,4.6,36064,190149,10/2020,,82,10h 39m,CAD$21.99,,45%,4.5,462859,1573740
Embedded Linux Step by Step using Beaglebone Black,it software,Other,4.5,3128,22977,8/2019,,49,4h 14m,CAD$20.99,,87%,4.6,90008,285748
Adobe Lightroom CC + Classic // Learn Photo Editing by Pro,personal development,Career Development,3.6,206,863,1/2017,,20,2h 6m,CAD$16.99,EUR36.18,83%,4.1,2420,7999
AWS Certified DevOps Engineer - Professional 2020,it software,IT Certification,4.1,154,1006,10/2020,,28,1h 38m,,EUR13.39,92%,3.9,336,6026
Modern Deep Learning in Python,development,Game Development,4.6,2461,8300,10/2017,,84,13h 4m,CAD$21.99,,88%,4.6,9098,46310
The Complete WordPress Website Business Course,development,Software Testing,4.4,5551,21343,4/2020,,77,6h 28m,CAD$20.99,EUR36.85,67%,4.4,31525,74271
Become A Freelance Social Media Manager - Home Business,business,Real Estate,4.8,997,7173,11/2019,,98,11h 41m,CAD$16.99,,92%,4.7,11423,31593
Certified Six Sigma Black Belt Training,it software,Other,4.4,5024,20341,8/2020,,32,2h 30m,CAD$16.99,,91%,4.4,21931,86103
AZ-900: Azure Fundamentals Practice Test Exam,business,Data & Analytics,4.5,6875,29621,9/2020,,254,18h 35m,CAD$16.99,,88%,4.4,18947,60738
Master Data Management,development,Databases,3.4,384,1605,2/2018,,,2h 59m,,EUR11.38,69%,3.7,,14194
MATLAB/SIMULINK Bible|Go From Zero to Hero!,development,Development Tools,4.2,151,770,10/2020,,69,3h 38m,CAD$20.99,,68%,4.4,3582,32605
Amazon (AWS) QuickSight - Getting Started,business,Finance,4.3,543,1913,7/2020,,82,8h 10m,CAD$16.99,,77%,4.4,1684,11022
Cisco Network Security Master Class,business,Project Management,4.5,730,5110,8/2020,,104,15h 8m,CAD$16.99,,32%,4.5,119842,393060
Learning Windows PowerShell,it software,Other,3.9,397,1324,7/2020,,112,13h 5m,CAD$16.99,,92%,3.9,397,1324
Scrum Master Certification Preparation & 240+ Prep Questions,it software,Operating Systems,4,188,1061,9/2020,,108,16h 46m,,EUR133.99,80%,4.4,3923,27757
Google Analytics for Beginners | Hands-On Training Course,business,Media,4.7,860,44126,11/2017,,50,4h 22m,CAD$17.99,,88%,4.6,34255,299955
Apache Spark with Databricks,development,Programming Languages,4.5,2406,7880,8/2020,,97,7h 7m,CAD$16.99,EUR17.42,92%,4.5,2873,9398
Udemy SEO: Winning the Udemy Search Engine - Unofficial,personal development,Career Development,4.6,4557,96498,5/2020,,189,37h 8m,CAD$16.99,EUR30.15,79%,4.5,132521,907674
Blogging Masterclass: How To Build A Successful Blog In 2020,business,Finance,4.1,412,18767,11/2019,,54,5h 47m,CAD$17.99,,86%,3.7,3469,120192
Complete Salesforce Certified Platform Developer I Course,it software,IT Certification,4.5,296,1052,9/2020,,63,12h 2m,CAD$16.99,,88%,4.3,25989,242683
Master Data Management,development,Databases,3.4,384,1605,2/2018,,58,2h 59m,,EUR11.38,69%,3.7,3269,14194
"Master Full-Stack Web Development | Node, SQL, React, & More",development,Mobile Apps,3.7,1227,7159,4/2020,,131,11h 26m,CAD$16.99,,84%,4.4,50228,324393
Apache NiFi Complete Master Course - HDP - Automation ETL,business,Communications,4.5,816,6989,3/2016,,65,5h 49m,CAD$16.99,,79%,4.4,1040,8156
Certified Network Marketer (Network Marketing & MLM Mastery),business,Data & Analytics,4.6,56298,214121,6/2019,,31,3h 46m,CAD$19.99,,88%,4.5,462859,1573356
Advanced Excel: Top Excel Tips & Formulas,teaching academics,Language,4.4,640,2235,10/2017,,86,10h 6m,CAD$129.99,,88%,4.3,1126,8590
